H2O	O
3-Oxodecanoyl-[acp];	
trans-Dec-2-enoyl-[acp];	
Decanoyl-[acp];	
3-Oxododecanoyl-[acp];	
(3R)-3-Hydroxydodecanoyl-[acyl-carrier protein];	
trans-Dodec-2-enoyl-[acp];	
3-Oxotetradecanoyl-[acp];	
trans-Tetradec-2-enoyl-[acp];	
Tetradecanoyl-[acp];	
3-Oxohexadecanoyl-[acp];	
trans-Hexadec-2-enoyl-[acp];	
Hexadecanoyl-[acp];	
Uroporphyrinogen I	C1C2=C(C(=C(N2)CC3=C(C(=C(N3)CC4=C(C(=C(N4)CC5=C(C(=C1N5)CC(=O)O)CCC(=O)O)CC(=O)O)CCC(=O)O)CC(=O)O)CCC(=O)O)CC(=O)O)CCC(=O)O
Coproporphyrinogen I	CC1=C2CC3=C(C(=C(N3)CC4=C(C(=C(N4)CC5=C(C(=C(N5)CC(=C1CCC(=O)O)N2)C)CCC(=O)O)C)CCC(=O)O)C)CCC(=O)O
Coproporphyrin III	CC1=C(C2=CC3=C(C(=C(N3)C=C4C(=C(C(=N4)C=C5C(=C(C(=N5)C=C1N2)C)CCC(=O)O)C)CCC(=O)O)C)CCC(=O)O)CCC(=O)O
Precorrin 3A	CC1=C2C(C(C(=N2)C=C3C(C(C(=CC4=C(C(=C(N4)CC5=C(C(=C1N5)CC(=O)O)CCC(=O)O)CCC(=O)O)CC(=O)O)N3)CCC(=O)O)(C)CC(=O)O)CCC(=O)O)(C)CC(=O)O
Cobyrinate;	CC1=C2C(C(C([N-]2)C3(C(C(C(=N3)C(=C4C(C(C(=N4)C=C5C(C(C1=N5)CCC(=O)O)(C)C)CCC(=O)O)(C)CC(=O)O)C)CCC(=O)O)(C)CC(=O)O)C)CC(=O)O)(C)CCC(=O)O.[Co+2]
alpha-Ribazole;	CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)O)O
Sirohydrochlorin	CC1(C(C2=NC1=CC3=NC(=CC4=C(C(=C(N4)C=C5C(=C(C(=C2)N5)CC(=O)O)CCC(=O)O)CCC(=O)O)CC(=O)O)C(C3CCC(=O)O)(C)CC(=O)O)CCC(=O)O)CC(=O)O
2-Octaprenyl-6-methoxy-1,4-benzoquinone	CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=CC(=O)C=C(C1=O)OC)C)C)C)C)C)C)C)C
2-Octaprenyl-3-methyl-6-methoxy-1,4-benzoquinone	CC1=C(C(=O)C(=CC1=O)OC)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C
(1R,6R)-6-Hydroxy-2-succinylcyclohexa-2,4-diene-1-carboxylate;	C1=CC(C(C(=C1)C(=O)CCC(=O)O)C(=O)O)O
Menaquinol;	
Enterochelin;	C1C(C(=O)OCC(C(=O)OCC(C(=O)O1)NC(=O)C2=C(C(=CC=C2)O)O)NC(=O)C3=C(C(=CC=C3)O)O)NC(=O)C4=C(C(=CC=C4)O)O
3'-CMP;	C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)OP(=O)(O)O)O
3-Mercaptolactate;	C(C(C(=O)O)O)S
S-Sulfo-L-cysteine	C(C(C(=O)O)N)SS(=O)(=O)O
Methylimidazole acetaldehyde;	CN1C=C(N=C1)CC=O
Methylimidazoleacetic acid;	CN1C=C(N=C1)CC(=O)O
cis-2-Hydroxycinnamate;	C1=CC=C(C(=C1)C=CC(=O)O)O
cis-beta-D-Glucosyl-2-hydroxycinnamate;	C1=CC=C(C(=C1)C=CC(=O)O)OC2C(C(C(C(O2)CO)O)O)O
Iminoaspartate;	C(C(=N)C(=O)O)C(=O)O
Nicotinate D-ribonucleoside;	C1=CC(=C[N+](=C1)C2C(C(C(O2)CO)O)O)C(=O)[O-]
all-trans-Polyprenyl diphosphate;	
UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine;	CC(C(=O)NC(CCC(=O)NC(CCCC[NH3+])C(=O)[O-])C(=O)[O-])NC(=O)C(C)OC1C(C(OC(C1O)CO)OP(=O)([O-])OP(=O)([O-])OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)NC(=O)C
Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine;	CC(C(=O)NC(CCC(=O)NC(CCCCN)C(=O)NC(C)C(=O)NC(C)C(=O)O)C(=O)O)NC(=O)C(C)OC1C(C(OC(C1OC2C(C(C(C(O2)CO)O)O)NC(=O)C)CO)OP(=O)(O)OP(=O)(O)OCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)NC(=O)C
Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	CC(C(=O)NC(CCC(=O)NC(CCCC(C(=O)O)N)C(=O)NC(C)C(=O)NC(C)C(=O)O)C(=O)O)NC(=O)C(C)OC1C(C(OC(C1O)CO)OP(=O)(O)OP(=O)(O)OCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)NC(=O)C
Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	CC(C(=O)NC(CCC(=O)NC(CCCC(C(=O)O)N)C(=O)NC(C)C(=O)NC(C)C(=O)O)C(=O)O)NC(=O)C(C)OC1C(C(OC(C1OC2C(C(C(C(O2)CO)O)O)NC(=O)C)CO)OP(=O)(O)OP(=O)(O)OCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)NC(=O)C
Biotinyl-5'-AMP	C1C2C(C(S1)CCCCC(=O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)NC(=O)N2
Formamidopyrimidine nucleoside triphosphate	C(C1C(C(C(O1)NC2=C(C(=O)NC(=N2)N)NC=O)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O
2,5-Diaminopyrimidine nucleoside triphosphate	C(C1C(C(C(O1)NC2=C(C(=O)NC(=N2)N)N)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O
Molybdopterin;	C(C1C(=C(C2C(O1)NC3=C(N2)C(=O)NC(=N3)N)S)S)OP(=O)(O)O
N-Succinyl-L-glutamate;	C(CC(=O)O)C(C(=O)O)NC(=O)CCC(=O)O
N-Succinyl-L-glutamate 5-semialdehyde;	C(CC(C(=O)O)NC(=O)CCC(=O)O)C=O
N(omega)-Hydroxyarginine;	C(CC(C(=O)O)N)CN=C(N)NO
N4-Acetylaminobutanal;	CC(=O)NCCCC=O
L-4-Hydroxyglutamate semialdehyde	C(C(C=O)O)C(C(=O)O)N
(4R)-4-Hydroxy-2-oxoglutarate;	C(C(C(=O)O)O)C(=O)C(=O)O
L-erythro-4-Hydroxyglutamate;	C(C(C(=O)O)N)C(C(=O)O)O
Propane-1-ol;	CCCO
2-Hydroxybutanoic acid;	CCC(C(=O)O)O
2-Propynal;	C#CC=O
3-Hydroxyisovaleryl-CoA;	CC(C)(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
(S)-3-Hydroxyisobutyryl-CoA;	CC(CO)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O
(S)-3-Hydroxyisobutyrate	CC(CO)C(=O)[O-]
(S)-Methylmalonate semialdehyde	CC(C=O)C(=O)O
(S)-2-Aceto-2-hydroxybutanoate;	CCC(C(=O)C)(C(=O)O)O
(R)-2,3-Dihydroxy-3-methylpentanoate;	CCC(C)(C(C(=O)O)O)O
(S)-2-Acetolactate;	CC(=O)C(C)(C(=O)O)O
dTDP-D-glucuronate	CC1=CN(C(=O)NC1=O)C2CC(C(O2)COP(=O)([O-])OP(=O)([O-])OC3C(C(C(C(O3)C(=O)[O-])O)O)O)O
D-arabino-Hex-3-ulose 6-phosphate;	C(C(C(=O)C(C(COP(=O)(O)O)O)O)O)O
UDP-3-O-(3-hydroxytetradecanoyl)-D-glucosamine;	CCCCCCCCCCCC(CC(=O)OC1C(C(OC(C1O)CO)OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)N)O
2-Methylfumaryl-CoA;	CC(=CC(=O)O)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
D-erythro-3-Methylmalate;	CC(C(C(=O)O)O)C(=O)O
2-Oxo-3-hydroxy-4-phosphobutanoate;	C(C(C(=O)C(=O)O)O)OP(=O)(O)O
O-Phospho-4-hydroxy-L-threonine;	C(C(C(C(=O)O)N)O)OP(=O)(O)O
4-Hydroxy-L-threonine;	C(C(C(C(=O)O)N)O)O
Zeaxanthin;	CC1=C(C(CC(C1)O)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(CC(CC2(C)C)O)C)C)C
Adipate semialdehyde;	C(CCC(=O)O)CC=O
6-Hydroxyhexanoic acid;	C(CCC(=O)O)CCO
1-Butanol;	CCCCO
scyllo-Inositol;	C1(C(C(C(C(C1O)O)O)O)O)O
alpha-D-Glucosamine 1-phosphate;	C(C1C(C(C(C(O1)OP(=O)(O)O)N)O)O)O
Guanosine 3'-phosphate;	
2',3'-Cyclic GMP	C1=NC2=C(N1C3C4C(C(O3)CO)OP(=O)(O4)O)N=C(NC2=O)N
2'-Deoxyinosine 5'-phosphate;	
Levan;	C(C1C(C(C(O1)(CO)OCC2C(C(C(O2)(CO)OCC3C(C(C(O3)(CO)O)O)O)O)O)O)O)O
Molybdate	[O-][Mo](=O)(=O)[O-]
UDP-N-acetyl-D-mannosaminouronate;	CC(=O)NC1C(C(C(OC1OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)C(=O)O)O)O
Precorrin 6Y;	CC12CC3=C(C(C(=N3)C=C4C(C(C(N4)(C5C(C(C(=N5)CC(=N1)C(=C2CC(=O)O)CCC(=O)O)(C)CCC(=O)O)CC(=O)O)C)(C)CC(=O)O)CCC(=O)O)(C)CC(=O)O)CCC(=O)O
Cyclohexa-1,5-diene-1-carbonyl-CoA;	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)C4=CCCC=C4)O
N-Acetyl-D-galactosamine 6-phosphate	CC(=O)NC1C(C(C(OC1O)COP(=O)(O)O)O)O
D-Galactosamine 6-phosphate	C(C1C(C(C(C(O1)O)N)O)O)OP(=O)(O)O
Hydrogenobyrinate;	CC1=C2C(C(C(=N2)C=C3C(C(C(=C(C4=NC(C5C(C(C1=N5)(C)CCC(=O)O)CC(=O)O)(C(C4CCC(=O)O)(C)CC(=O)O)C)C)N3)(C)CC(=O)O)CCC(=O)O)(C)C)CCC(=O)O
Precorrin 4	CC(=O)C12C3=C(C(C(=N3)CC4=C(C(=C(N4)CC5=C(C(C(=N5)C=C(N1)C(C2(C)CC(=O)O)CCC(=O)O)(C)CC(=O)O)CCC(=O)O)CC(=O)O)CCC(=O)O)(C)CCC(=O)O)CC(=O)O
Precorrin 8X;	CC1C2=NC(CC3=NC(=C(C4=NC(C5C(C(C1=N5)(C)CCC(=O)O)CC(=O)O)(C(C4CCC(=O)O)(C)CC(=O)O)C)C)C(C3CCC(=O)O)(C)CC(=O)O)(C(=C2CCC(=O)O)C)C
Precorrin 5	CC(=O)C12C3=C(C(C(=N3)CC4=NC(CC5=C(C(C(=N5)C=C(N1)C(C2(C)CC(=O)O)CCC(=O)O)(C)CC(=O)O)CCC(=O)O)(C(=C4CCC(=O)O)CC(=O)O)C)(C)CCC(=O)O)CC(=O)O
2-Keto-D-gluconic acid;	C(C(C(C(C(=O)C(=O)O)O)O)O)O
Hydrogenobyrinate a,c diamide;	CC1=C2C(C(C(=N2)C=C3C(C(C(=C(C4=NC(C5C(C(C1=N5)(C)CCC(=O)O)CC(=O)O)(C(C4CCC(=O)O)(C)CC(=O)N)C)C)N3)(C)CC(=O)N)CCC(=O)O)(C)C)CCC(=O)O
Adenosyl cobyrinate hexaamide;	CC1=C2C(C(C([N-]2)C3(C(C(C(=N3)C(=C4C(C(C(=N4)C=C5C(C(C1=N5)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)(C)CCC(=O)O.[CH2-]C1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O.[Co]
Adenosyl cobinamide;	CC1=C2C(C(C([N-]2)C3(C(C(C(=N3)C(=C4C(C(C(=N4)C=C5C(C(C1=N5)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)(C)CCC(=O)NCC(C)O.[CH2-]C1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O.[Co]
Adenosine-GDP-cobinamide;	CC1=C2C(C(C([N-]2)C3(C(C(C(=N3)C(=C4C(C(C(=N4)C=C5C(C(C1=N5)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)(C)CCC(=O)NCC(C)OP(=O)(O)OP(=O)(O)OCC6C(C(C(O6)N7C=NC8=C7N=C(NC8=O)N)O)O.[CH2-]C1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O.[Co]
4-Isopropylbenzaldehyde;	CC(C)C1=CC=C(C=C1)C=O
p-Cumate	CC(C)C1=CC=C(C=C1)C(=O)[O-]
cis-2,3-Dihydroxy-2,3-dihydro-p-cumate;	CC(C)C1=CC=C(C(C1O)O)C(=O)[O-]
2,3-Dihydroxy-p-cumate	CC(C)C1=C(C(=C(C=C1)C(=O)O)O)[O-]
2,5-Dichloro-2,5-cyclohexadiene-1,4-diol;	C1=C(C(C=C(C1O)Cl)O)Cl
2,5-Dichlorohydroquinone;	C1=C(C(=CC(=C1Cl)O)Cl)O
trans-3-Chloro-2-propene-1-ol;	C(C=CCl)O
cis-3-Chloro-2-propene-1-ol;	C(C=CCl)O
trans-3-Chloroallyl aldehyde;	C(=CCl)C=O
trans-3-Chloroacrylic acid	C(=CCl)C(=O)O
cis-3-Chloroacrylic acid	C(=CCl)C(=O)O
dTDP-3,4-dioxo-2,6-dideoxy-D-glucose;	CC1C(=O)C(=O)CC(O1)OP(=O)(O)OP(=O)(O)OCC2C(CC(O2)N3C=C(C(=O)NC3=O)C)O
Malonamoyl-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CC(=O)N)O
Vanillate;	COC1=C(C=CC(=C1)C(=O)O)O
3-Hydroxypimeloyl-CoA;	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CC(CCCC(=O)O)O)O
3-Oxopimeloyl-CoA;	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CC(=O)CCCC(=O)O)O
Chloroacetaldehyde;	C(C=O)Cl
Chloroacetic acid;	C(C(=O)O)Cl
p-Tolualdehyde;	CC1=CC=C(C=C1)C=O
2-Hydroxy-5-methyl-cis,cis-muconic semialdehyde;	CC(=CO)C=CC(=O)C(=O)O
2-Deoxy-5-keto-D-gluconic acid;	C(C(C(C(=O)CO)O)O)C(=O)O
2-Deoxy-5-keto-D-gluconic acid 6-phosphate;	C(C(C(C(=O)COP(=O)(O)O)O)O)C(=O)O
Chloral hydrate	C(C(Cl)(Cl)Cl)(O)O
Phenylacetic acid;	C1=CC=C(C=C1)CC(=O)O
Protoanemonin;	C=C1C=CC(=O)O1
Benzoylacetyl-CoA;	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CC(=O)C4=CC=CC=C4)O
3-Methylbenzaldehyde;	CC1=CC(=CC=C1)C=O
m-Methylbenzoate;	CC1=CC(=CC=C1)C(=O)O
2-Methylbenzaldehyde;	CC1=CC=CC=C1C=O
o-Toluate;	CC1=CC=CC=C1C(=O)O
4-Hydroxy-3-methoxyphenyl-beta-hydroxypropanoyl-CoA;	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CC(C4=CC(=C(C=C4)O)OC)O)O
2-Hydroxy-5-methyl-cis,cis-muconate	CC(=CC=C(C(=O)O)O)C(=O)O
Trichloroethanol;	C(C(Cl)(Cl)Cl)O
Epiandrosterone	CC12CCC(CC1CCC3C2CCC4(C3CCC4=O)C)O
Aldophosphamide	C(COP(=O)(N)N(CCCl)CCCl)C=O
Carboxyphosphamide;	C(COP(=O)(N)N(CCCl)CCCl)C(=O)O
Thioguanine	C1=NC2=C(N1)C(=S)N=C(N2)N
5-FU;	C1=C(C(=O)NC(=O)N1)F
3-(Methylthio)propanoate;	
Amygdalin;	C1=CC=C(C=C1)C(C#N)OC2C(C(C(C(O2)COC3C(C(C(C(O3)CO)O)O)O)O)O)O
Lotaustralin	CCC(C)(C#N)OC1C(C(C(C(O1)CO)O)O)O
beta-D-Ribopyranose;	C1C(C(C(C(O1)O)O)O)O
cis-trans-Nepetalactol;	CC1CCC2C1C(OC=C2C)O
Cyclohex-1-ene-1-carboxyl-CoA;	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)C4=CCCCC4)O
2-Hydroxycyclohexane-1-carboxyl-CoA;	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)C4CCCCC4O)O
2-Ketocyclohexane-1-carboxyl-CoA;	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)C4CCCCC4=O)O
Benzamide	C1=CC=C(C=C1)C(=O)N
Benzylsuccinyl-CoA;	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)C(CC4=CC=CC=C4)CC(=O)O)O
E-Phenylitaconyl-CoA;	
(2S)-[(R)-Hydroxy(phenyl)methyl]succinyl-CoA;	
(S)-2-Benzoylsuccinyl-CoA;	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)C(CC(=O)O)C(=O)C4=CC=CC=C4)O
Cyclohexane-1-carboxylate;	C1CCC(CC1)C(=O)O
Cyclohexane-1-carboxyl-CoA;	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)C4CCCCC4)O
(R)-(+)-Citronellal	CC(CCC=C(C)C)CC=O
beta-Citronellol;	CC(CCC=C(C)C)CCO
Matairesinol;	COC1=C(C=CC(=C1)CC2COC(=O)C2CC3=CC(=C(C=C3)O)OC)O
2'-Deoxy-5-hydroxymethylcytidine-5'-diphosphate	C1C(C(OC1N2C=C(C(=NC2=O)N)CO)COP(=O)(O)OP(=O)(O)O)O
2'-Deoxy-5-hydroxymethylcytidine-5'-triphosphate	C1C(C(OC1N2C=C(C(=NC2=O)N)CO)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O
4-Hydroxybutyryl-CoA;	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CCCO)O
Dimethyl sulfone;	CS(=O)(=O)C
Dimethyl sulfoxide;	CS(=O)C
Methanesulfonic acid;	CS(=O)(=O)[O-]
Trichloroacetate;	C(=O)(C(Cl)(Cl)Cl)O
4-Amino-4-deoxychorismate;	
(S)-(-)-Citronellal;	CC(CCC=C(C)C)CC=O
(-)-Citronellol	CC(CCC=C(C)C)CCO
2-C-Methyl-D-erythritol 4-phosphate	CC(CO)(C(COP(=O)(O)O)O)O
4-(Cytidine 5'-diphospho)-2-C-methyl-D-erythritol	CC(CO)(C(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=CC(=NC2=O)N)O)O)O)O
2-Phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol	CC(CO)(C(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=CC(=NC2=O)N)O)O)O)OP(=O)(O)O
1-Deoxy-D-xylulose 5-phosphate	CC(=O)C(C(COP(=O)(O)O)O)O
2-C-Methyl-D-erythritol 2,4-cyclodiphosphate;	CC1(C(COP(=O)(OP(=O)(O1)O)O)O)CO
(S)-3-Sulfolactate;	C(C(C(=O)[O-])O)S(=O)(=O)[O-]
(2R)-O-Phospho-3-sulfolactate;	C(C(C(=O)O)OP(=O)(O)O)S(=O)(=O)O
(2R)-3-Sulfolactate;	C(C(C(=O)[O-])O)S(=O)(=O)[O-]
Cobalt-sirohydrochlorin;	CC1(C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(C(C(=N5)C=C1[N-]2)CCC(=O)O)(C)CC(=O)O)CC(=O)O)CCC(=O)O)C(=C3CC(=O)O)CCC(=O)O)CCC(=O)O)CC(=O)O.[Co+2]
Cobalt-precorrin 6;	CC12CC3=C(C(C(=N3)C=C4C(C(C([N-]4)(C5=C(C(C(=N5)CC(=N1)C(=C2CC(=O)O)CCC(=O)O)(C)CCC(=O)O)CC(=O)O)C)(C)CC(=O)O)CCC(=O)O)(C)CC(=O)O)CCC(=O)O.[Co]
Cobalt-precorrin 8;	CC1C2=NC(CC3=C(C(C(=N3)C(=C4C(C(C([N-]4)(C5C(C(C1=N5)(C)CCC(=O)O)CC(=O)O)C)(C)CC(=O)O)CCC(=O)O)C)(C)CC(=O)O)CCC(=O)O)(C(=C2CCC(=O)O)C)C.[Co]
5-Fluorodeoxyuridine;	C1C(C(OC1N2C=C(C(=O)NC2=O)F)CO)O
1-Hydroxy-2-methyl-2-butenyl 4-diphosphate;	CC(=CCOP(=O)(O)OP(=O)(O)O)CO
13(1)-Hydroxy-magnesium-protoporphyrin IX 13-monomethyl ester;	CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C)CCC(=O)O)C(CC(=O)OC)O)C)C(=C3C)C=C)C=C.[Mg+2]
13(1)-Oxo-magnesium-protoporphyrin IX 13-monomethyl ester;	CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C)CCC(=O)O)C(=O)CC(=O)OC)C)C(=C3C)C=C)C=C.[Mg+2]
Divinylprotochlorophyllide;	
(S)-4,5-Dihydroxypentane-2,3-dione;	CC(=O)C(=O)C(CO)O
Methanophenazine;	CC(CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)CCOC1=CC2=NC3=CC=CC=C3N=C2C=C1
Dihydromethanophenazine;	CC(CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C)CCOC1=CC2=C(C=C1)NC3=CC=CC=C3N2
dTDP-4-oxo-6-deoxy-D-glucose;	CC1C(=O)C(C(C(O1)OP(=O)(O)OP(=O)(O)OCC2C(CC(O2)N3C=C(C(=O)NC3=O)C)O)O)O
3,6-Dideoxy-3-oxo-dTDP-D-glucose;	CC1C(C(=O)C(C(O1)OP(=O)(O)OP(=O)(O)OCC2C(CC(O2)N3C=C(C(=O)NC3=O)C)O)O)O
dTDP-3-oxo-4,6-dideoxy-D-glucose;	CC1CC(=O)C(C(O1)OP(=O)(O)OP(=O)(O)OCC2C(CC(O2)N3C=C(C(=O)NC3=O)C)O)O
dTDP-3-amino-3,4,6-trideoxy-D-glucose;	CC1CC(C(C(O1)OP(=O)(O)OP(=O)(O)OCC2C(CC(O2)N3C=C(C(=O)NC3=O)C)O)O)N
dTDP-4-oxo-2,6-dideoxy-D-glucose;	CC1C(=O)C(CC(O1)OP(=O)(O)OP(=O)(O)OCC2C(CC(O2)N3C=C(C(=O)NC3=O)C)O)O
Perillic acid	CC(=C)C1CCC(=CC1)C(=O)O
dTDP-3-amino-3,6-dideoxy-D-glucose	CC1C(C(C(C(O1)OP(=O)(O)OP(=O)(O)OCC2C(CC(O2)N3C=C(C(=O)NC3=O)C)O)O)N)O
dTDP-4-oxo-2,6-dideoxy-D-allose	CC1C(=O)C(CC(O1)OP(=O)(O)OP(=O)(O)OCC2C(CC(O2)N3C=C(C(=O)NC3=O)C)O)O
L-Threonine O-3-phosphate;	CC(C(C(=O)O)N)OP(=O)(O)O
5-Hydroxyferuloyl-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)C=CC4=CC(=C(C(=C4)OC)O)O)O
Kanosamine 6-phosphate;	C(C1C(C(C(C(O1)O)O)N)O)OP(=O)(O)O
Aminofructose 6-phosphate;	C(C1C(C(C(O1)(CO)O)N)O)OP(=O)(O)O
Iminoerythrose 4-phosphate;	C(C(C(C=N)O)O)OP(=O)(O)O
dTDP-3-amino-2,3,6-trideoxy-4-keto-D-glucose;	CC1C(=O)C(CC(O1)OP(=O)(O)OP(=O)(O)OCC2C(CC(O2)N3C=C(C(=O)NC3=O)C)O)N
3,5-Dihydroxyphenylacetyl-CoA	CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CC4=CC(=CC(=C4)O)O)O
3,5,7,9,11,13,15-Heptaoxo-hexadecanoyl-[acp]	
3,5,7,9,11,13,15-Heptaoxo-octadecanoyl-[acp]	
3,5,7,9,11,13,15,17,19-Nonaoxo-eicosanoyl-[acp]	
3,5,7,9,11,13,15,17,19-Nonaoxo-henicosanoyl-[acp]	
3,5,7,9,11,13,15,17,19-Nonaoxo-docosanoyl-[acp]	
Tetracenomycin F2;	
8-Demethyltetracenomycin C	CC1=C(C(=CC2=CC3=C(C(=C12)O)C(=O)C4(C(=O)C=C(C(C4(C3=O)O)O)OC)O)O)C(=O)OC
